course_id,title,platform,subscribers
machine-learning,Machine Learning,c,12677
indigenous-canada,Indigenous Canada,c,1460
the-science-of-well-being,The Science of Well-Being,c,8199
technical-support-fundamentals,Technical Support Fundamentals,c,12054
google-cbrs-cpi-training,Become a CBRS Certified Professional Installer by Google,c,33
financial-markets-global,Financial Markets,c,3108
introduction-psychology,Introduction to Psychology,c,3015
python,Programming for Everybody (Getting Started with Python),c,15226
computer-networking,The Bits and Bytes of Computer Networking,c,4810
ai-for-everyone,AI For Everyone,c,7384
python-crash-course,Crash Course on Python,c,3231
psychological-first-aid,Psychological First Aid,c,2925
neural-networks-deep-learning,Neural Networks and Deep Learning,c,12291
what-is-datascience,What is Data Science?,c,7396
negotiation-skills,Successful Negotiation: Essential Strategies and Skills,c,2868
uva-darden-project-management,Fundamentals of Project Planning and Management,c,1132
project-management,Project Launch,c,36
brand,"Brand Management: Aligning Business, Brand and Behaviour",c,1091
sciwrite,Writing in the Sciences,c,1286
food-and-health,Stanford Introduction to Food and Health,c,4965
html-css-javascript-for-web-developers,"HTML, CSS, and Javascript for Web Developers",c,3186
excel-essentials,Excel Skills for Business: Essentials,c,7376
negotiation,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,c,1038
everyday-excel-part-1,"Everyday Excel, Part 1",c,303
learning-how-to-learn,Learning How to Learn: Powerful mental tools to help you master tough subjects,c,11871
gcp-fundamentals,Google Cloud Platform Fundamentals: Core Infrastructure,c,5931
wharton-contagious-viral-marketing,Viral Marketing and How to Craft Contagious Content,c,1303
python-data,Python Data Structures,c,11420
private-equity,Private Equity and Venture Capital,c,1102
learn-korean,First Step Korean,c,5992
introduction-tensorflow,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",c,2595
os-power-user,Operating Systems and You: Becoming a Power User,c,2197
open-source-tools-for-data-science,Tools for Data Science,c,2887
deep-neural-network,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",c,6164
diversity-inclusion-workplace,Diversity and inclusion in the workplace,c,120
clinical-trials,Design and Interpretation of Clinical Trials,c,471
visual-elements-user-interface-design,Visual Elements of User Interface Design,c,760
mafash,Management of Fashion and Luxury Companies,c,955
pap,Primeros Auxilios Psicológicos (PAP),c,2697
social-psychology,Social Psychology,c,1251
project-planning,Initiating and Planning Projects,c,2961
computational-thinking-problem-solving,Computational Thinking for Problem Solving,c,259
agile-atlassian-jira,Agile with Atlassian Jira,c,719
fundamentals-of-graphic-design,Fundamentals of Graphic Design,c,2815
user-experience-design,Introduction to User Experience Design,c,777
wharton-marketing,Introduction to Marketing,c,1881
python-for-applied-data-science-ai,Python for Data Science and AI,c,2874
uva-darden-market-analytics,Marketing Analytics,c,1452
classification-vector-spaces-in-nlp,Natural Language Processing with Classification and Vector Spaces,c,328
wharton-quantitative-modeling,Fundamentals of Quantitative Modeling,c,1270
remote-team-management,How to Manage a Remote Team,c,5
linear-algebra-machine-learning,Mathematics for Machine Learning: Linear Algebra,c,1643
python-data-analysis,Introduction to Data Science in Python,c,4911
wharton-customer-analytics,Customer Analytics,c,2042
introduction-psych,Introduction to Psychology,c,1182
careerdevelopment,English for Career Development,c,2953
global-diplomacy,Global Diplomacy – Diplomacy in the Modern World,c,768
sql-for-data-science,SQL for Data Science,c,1851
professional-emails-english,Write Professional Emails in English,c,3089
medical-neuroscience,Medical Neuroscience,c,532
system-administration-it-infrastructure-services,System Administration and IT Infrastructure Services,c,1823
womens-health-human-rights,International Women's Health and Human Rights,c,242
childnutrition,Child Nutrition and Cooking,c,2118
neurobiology,Understanding the Brain: The Neurobiology of Everyday Life,c,507
social-media-marketing-introduction,Introduction to Social Media Marketing,c,48
forensic-accounting,Forensic Accounting and Fraud Examination,c,873
clinical-terminology,Clinical Terminology for International and U.S. Students,c,401
science-exercise,Science of Exercise,c,994
uva-darden-digital-product-management,Digital Product Management: Modern Fundamentals,c,741
datasciencemathskills,Data Science Math Skills,c,1755
machine-learning-projects,Structuring Machine Learning Projects,c,4885
american-law,An Introduction to American Law,c,735
